date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 13:03:08+00:00,6.22186083,,,,,-66.95435876671692,0.0,2660.0,1.728294675,-0.3547118574999999,0.03615819138634046
2022-09-04 13:03:10+00:00,4.534528956,,,,,-0.0,30.900215906081755,2662.0,1.2595913766666667,-0.2172671648379629,0.022147519351474302
2022-09-04 13:03:12+00:00,3.250621458,,,,,-0.0,12.012471566321205,2664.0,0.9029504049999999,-0.1340603700925925,0.013665685024729103
2022-09-04 13:03:14+00:00,2.676217849,,,,,-0.0,4.824088147616359,2666.0,0.7433938469444444,-0.08397524553240732,0.008560167740306556
2022-09-04 13:03:16+00:00,2.288763949,,,,,-0.0,1.9617890456025686,2668.0,0.6357677636111111,-0.05892442562499992,0.006006567341997953
2022-09-04 13:03:18+00:00,1.868655858,,,,,-0.0,1.04624360747512,2670.0,0.5190710716666667,-0.05087178604166659,0.005185707037886502
2022-09-04 13:03:20+00:00,1.512648262,,,,,-0.0,0.40687200268146473,2672.0,0.42018007277777775,-0.04306901562499993,0.004390317596839952
2022-09-04 13:03:22+00:00,1.254672379,,,,,0.10383496195459312,0.0,2674.0,0.34852010527777777,-0.03396611775462955,0.0034623973246309427
2022-09-04 13:03:24+00:00,1.042165953,,,,,0.35696197505352256,0.0,2676.0,0.2894905425,-0.027769717013888816,0.002830756066655333
2022-09-04 13:03:26+00:00,0.87180188,,,,,0.4929101305226958,0.0,2678.0,0.24216718888888888,-0.022467583541666596,0.002290273551647971
2022-09-04 13:03:28+00:00,0.695866986,,,,,0.6807618927785606,0.0,2680.0,0.193296385,-0.012695480486111037,0.0012941366448635104
2022-09-04 13:03:30+00:00,0.630371737,,,,,0.8471049196812344,0.0,2682.0,0.17510326027777778,-0.004068949027777703,0.00041477563993656504
2022-09-04 13:03:32+00:00,0.735151339,,,,,1.0167127248135879,0.0,2684.0,0.20420870527777776,-0.0031678606712962215,0.00032292157709441603
2022-09-04 13:03:34+00:00,0.656738929,,,,,0.7730153416277908,0.0,2686.0,0.18242748027777778,-0.008003831759259184,0.0008158849907501717
2022-09-04 13:03:36+00:00,0.532648213,,,,,0.5967572798602421,0.0,2688.0,0.14795783694444445,-0.009316875069444367,0.0009497324229810771
2022-09-04 13:03:38+00:00,0.487109331,,,,,0.8756041567646191,0.0,2690.0,0.1353081475,0.006647425138888964,-0.0006776172414769586
2022-09-04 13:03:40+00:00,0.502291934,,,,,2.721034049354104,0.0,2692.0,0.13952553722222225,0.09193803347222229,-0.009371868855476279
2022-09-04 13:03:42+00:00,0.974263974,,,,,11.856707779963626,0.0,2694.0,0.27062888166666665,0.25094786379629636,-0.025580821997583724
2022-09-04 13:03:44+00:00,4.017216616,,,,,69.80355659745231,0.0,2696.0,1.1158935044444445,0.37127527171296304,-0.03784661281477707
