date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,SoC,Motor_Eff
2022-09-04 13:26:32+00:00,7.758680858,,,,,-52.95642778988561,0.0,0.40668600813010264,0.6301675884380493
2022-09-04 13:26:34+00:00,5.965232022,,,,,-23.353443082821368,0.0,0.40671062790899126,0.5626462326460077
2022-09-04 13:26:36+00:00,4.344727901,,,,,0.0,17.45498406479544,0.40671062790899126,0.3787063942922831
2022-09-04 13:26:38+00:00,3.742721998,,,,,0.0,4.5133311592590735,0.40671062790899126,0.19394612022782406
2022-09-04 13:26:40+00:00,3.769976673,,,,,0.0,1.2062972067746516,0.40671062790899126,0.05183680408995563
2022-09-04 13:26:42+00:00,3.541389288,,,,,0.0,1.0095021402832596,0.40671062790899126,0.04338015903574076
2022-09-04 13:26:44+00:00,2.5481231,,,,,24.49584915079761,0.0,0.4066834102988237,0.10342551615148904
2022-09-04 13:26:46+00:00,3.017297744,,,,,36.139128212957544,0.0,0.40664325571192045,0.23780660975652979
2022-09-04 13:26:48+00:00,3.777955555,,,,,43.238985013647174,0.0,0.4065952123952386,0.31507025420085466
2022-09-04 13:26:50+00:00,3.770150458,,,,,37.82296610587769,0.0,0.4065531868773432,0.3010657609265095
2022-09-04 13:26:52+00:00,4.0334958,,,,,36.20834680788271,0.0,0.40651295538089,0.3180680768391909
2022-09-04 13:26:54+00:00,4.371099102,,,,,42.080106794881125,0.0,0.40646619970667347,0.3611095153130932
2022-09-04 13:26:56+00:00,4.595230724,,,,,58.39878135283369,0.0,0.406401312171837,0.4128959491484648
2022-09-04 13:26:58+00:00,5.275045818,,,,,83.71559875050849,0.0,0.406308294839892,0.49965041965096757
2022-09-04 13:27:00+00:00,7.085641863,,,,,115.60306486259378,0.0,0.40617984699004467,0.619275753091893
2022-09-04 13:27:02+00:00,8.673971177,,,,,146.929616513744,0.0,0.406016591860585,0.6603233812732447
2022-09-04 13:27:04+00:00,10.17606268,,,,,174.6193207777646,0.0,0.40582257039305414,0.7000276526835335
2022-09-04 13:27:06+00:00,12.15947455,,,,,208.0790437468158,0.0,0.4055913714555577,0.753410525792319
2022-09-04 13:27:08+00:00,14.27444353,,,,,240.95440485175217,0.0,0.4053236443390557,0.7781714460906756
2022-09-04 13:27:10+00:00,15.89987522,,,,,258.8874350140258,0.0,0.4050359916334846,0.7944091582244455
2022-09-04 13:27:12+00:00,17.64737517,,,,,326.7184020011396,0.0,0.40467297118681667,0.7992899502104944
2022-09-04 13:27:14+00:00,19.45480026,,,,,422.40112133754593,0.0,0.4042036366075527,0.7943913514862608
2022-09-04 13:27:16+00:00,22.99782682,,,,,429.6978300592476,0.0,0.40372619457415354,0.8139092811102473
2022-09-04 13:27:18+00:00,25.01211883,,,,,264.59336325411294,0.0,0.40343220194831564,0.8488790039472288
2022-09-04 13:27:20+00:00,23.35526174,,,,,79.46556949588046,0.0,0.403343906871098,0.789817299317306
2022-09-04 13:27:22+00:00,23.02509747,,,,,52.89141816690469,0.0,0.4032851386286903,0.5786355883952374
2022-09-04 13:27:24+00:00,22.68660701,,,,,59.94883400500872,0.0,0.4032185288131292,0.7745367868121944
2022-09-04 13:27:26+00:00,22.02553469,,,,,57.11504370245823,0.0,0.4031550676534598,0.7704306495093995
2022-09-04 13:27:28+00:00,21.57392831,,,,,72.05382550686733,0.0,0.40307500784734107,0.779662221360919
2022-09-04 13:27:30+00:00,21.50187019,,,,,74.24564935771217,0.0,0.4029925126813881,0.7810662465738816
2022-09-04 13:27:32+00:00,21.35722149,,,,,75.93491951325099,0.0,0.4029081405485956,0.7819336624174856
2022-09-04 13:27:34+00:00,20.50991461,,,,,49.18069549037566,0.0,0.40285349533138404,0.7598153930976107
2022-09-04 13:27:36+00:00,20.96430395,,,,,48.78606370799027,0.0,0.4027992885939307,0.3342725765005816
2022-09-04 13:27:38+00:00,19.50067463,,,,,0.0,1.3101711533768605,0.4027992885939307,0.03010890312761723
2022-09-04 13:27:40+00:00,18.72456709,,,,,44.20095812342714,0.0,0.402750176418238,0.3666480188728526
2022-09-04 13:27:42+00:00,18.59166152,,,,,58.89851110879559,0.0,0.40268473362811713,0.7607958169060158
2022-09-04 13:27:44+00:00,18.91953286,,,,,44.60532134255598,0.0,0.40263517215995875,0.5745681797776047
2022-09-04 13:27:46+00:00,18.04484852,,,,,0.0,4.926899237940538,0.40263517215995875,0.1200752652999756
2022-09-04 13:27:48+00:00,16.79411281,,,,,19.955960705963687,0.0,0.40261299887028545,0.01
2022-09-04 13:27:50+00:00,16.69149013,,,,,57.074688873871786,0.0,0.4025495825493145,0.7338377647184547
2022-09-04 13:27:52+00:00,16.86004256,,,,,103.87656268036828,0.0,0.4024341641463363,0.780014223921739
2022-09-04 13:27:54+00:00,17.27248541,,,,,135.20713638367593,0.0,0.4022839339947989,0.7970424301552542
2022-09-04 13:27:56+00:00,17.93646526,,,,,193.62145883721732,0.0,0.40206879904053533,0.823988119500923
2022-09-04 13:27:58+00:00,18.7845506,,,,,279.2147065211744,0.0,0.401758560477734,0.8226070538032739
2022-09-04 13:28:00+00:00,21.21477184,,,,,335.18115613567403,0.0,0.4013861369709166,0.8248804143467572
2022-09-04 13:28:02+00:00,23.2336112,,,,,226.11371029047243,0.0,0.4011348995150383,0.8412355534884988
2022-09-04 13:28:04+00:00,22.94266967,,,,,0.0,7.855077072450529,0.4011348995150383,0.15681055865799234
2022-09-04 13:28:06+00:00,20.7057482,,,,,-97.35443224018051,1.4210854715202004e-14,0.40123746091533097,0.8213646208207466
2022-09-04 13:28:08+00:00,18.29724173,,,,,-106.04411491155945,0.0,0.40134917821309746,0.8196553825198187
2022-09-04 13:28:10+00:00,16.65793549,,,,,-99.58515187299963,0.0,0.401454092487486,0.8079310527743851
2022-09-04 13:28:12+00:00,14.79402024,,,,,-116.2430112776972,0.0,0.4015765576631104,0.7909545698981874
2022-09-04 13:28:14+00:00,12.00413325,,,,,-114.5060842946312,0.0,0.4016971948086267,0.7368922269999056
2022-09-04 13:28:16+00:00,8.1201856,,,,,-65.13053477122152,0.0,0.4017658137104798,0.6180240553510018
2022-09-04 13:28:18+00:00,5.416050776,,,,,-26.87212506419459,0.0,0.4017941253423697,0.5149451650193254
2022-09-04 13:28:20+00:00,3.948866342,,,,,0.0,23.179071329653826,0.4017941253423697,0.36149145761738444
2022-09-04 13:28:22+00:00,2.966940779,,,,,0.0,9.765127289910106,0.4017941253423697,0.2448956443973908
2022-09-04 13:28:24+00:00,2.284972083,,,,,0.0,4.392801187837852,0.4017941253423697,0.16869304443287045
2022-09-04 13:28:26+00:00,1.757411717,,,,,0.0,0.7635013429238547,0.4017941253423697,0.032809053451580576
2022-09-04 13:28:28+00:00,1.408023331,,,,,26.028999571509733,0.0,0.4017652042317347,0.10291942252858462
2022-09-04 13:28:30+00:00,1.790808273,,,,,50.81317579813838,0.0,0.40170874514751453,0.15847024153110734
2022-09-04 13:28:32+00:00,2.741602072,,,,,80.10061582769026,0.0,0.40161974446326154,0.2576906839758276
2022-09-04 13:28:34+00:00,3.692844136,,,,,112.1437110657542,0.0,0.40149514033985517,0.3511407640420653
2022-09-04 13:28:36+00:00,6.004493675,,,,,128.5144593751951,0.0,0.40135234649610496,0.5647434076429558
2022-09-04 13:28:38+00:00,8.353563613,,,,,150.51956003932446,0.0,0.4011851025405057,0.6487772536182443
2022-09-04 13:28:40+00:00,9.286665065,,,,,154.69220570794346,0.0,0.4010132223119413,0.6775837876071862
2022-09-04 13:28:42+00:00,10.96433174,,,,,195.80395302997144,0.0,0.4007956623641302,0.7190787695422317
2022-09-04 13:28:44+00:00,13.40411957,,,,,264.4339237842956,0.0,0.4005018468932588,0.7551815353005443
2022-09-04 13:28:46+00:00,15.68999708,,,,,266.96390022071324,0.0,0.400205220337458,0.7900004988220082
2022-09-04 13:28:48+00:00,17.82742453,,,,,204.2751875641221,0.0,0.3999782479068312,0.8217730093566107
2022-09-04 13:28:50+00:00,17.79828727,,,,,108.39072931709826,0.0,0.3998578137631455,0.791813813880661
2022-09-04 13:28:52+00:00,17.74897052,,,,,42.757829266250035,0.0,0.39981030506396076,0.21189273217691
2022-09-04 13:28:54+00:00,17.29209401,,,,,-47.232082950837906,0.0,0.39986005499671073,0.771878026017518
2022-09-04 13:28:56+00:00,15.23609601,,,,,-81.03928945942101,0.0,0.39994541486946883,0.7879308444895771
2022-09-04 13:28:58+00:00,12.55903558,,,,,-52.40099672078681,0.0,0.40000061020463934,0.7452728837119631
2022-09-04 13:29:00+00:00,11.35286281,,,,,32.703704429333314,0.0,0.3999642727552734,0.12391423813966748
2022-09-04 13:29:02+00:00,11.91492085,,,,,99.93702403914531,0.0,0.3998532316174521,0.7278368687386573
2022-09-04 13:29:04+00:00,13.8614943,,,,,85.07107046435839,0.0,0.39975870820582504,0.7394966615641464
2022-09-04 13:29:06+00:00,14.12034209,,,,,-34.66448950092543,-7.105427357601002e-15,0.3997952203528651,0.7250486699617793
2022-09-04 13:29:08+00:00,11.19910686,,,,,-85.89929741599474,0.0,0.3998856986007529,0.7313852792255838
2022-09-04 13:29:10+00:00,7.672816725,,,,,-57.054693615825755,0.0,0.3999457953418374,0.6220662612345931
2022-09-04 13:29:12+00:00,5.444021375,,,,,-25.121192649210574,0.0,0.3999722561498698,0.5210123973943152
2022-09-04 13:29:14+00:00,3.709192397,,,,,0.0,20.30866596026666,0.3999722561498698,0.3367557565119882
2022-09-04 13:29:16+00:00,2.87898422,,,,,0.0,7.885030895102787,0.3999722561498698,0.2275094818574124
2022-09-04 13:29:18+00:00,2.41208384,,,,,0.0,2.61507872253088,0.3999722561498698,0.11237473042161172
2022-09-04 13:29:20+00:00,2.046926266,,,,,0.0,1.0826244508803102,0.3999722561498698,0.04652235887483256
2022-09-04 13:29:22+00:00,1.735071484,,,,,4.165332602215715,0.0,0.399967628002534,0.01
2022-09-04 13:29:24+00:00,1.388720966,,,,,24.49584915079761,0.0,0.39994041039236644,0.040328562847058
2022-09-04 13:29:26+00:00,1.534907122,,,,,24.49584915079761,0.0,0.3999131927821989,0.06702677960392164
2022-09-04 13:29:28+00:00,1.457501658,,,,,24.495849150797603,0.0,0.39988597517203134,0.05185208940601918
2022-09-04 13:29:30+00:00,1.25887302,,,,,24.495849150797607,0.0,0.3998587575618638,0.06303625555581664
2022-09-04 13:29:32+00:00,1.045889184,,,,,58.27836966048039,0.0,0.39979400381779656,0.09395347754441721
2022-09-04 13:29:34+00:00,1.712846613,,,,,142.60444240229856,0.0,0.39963555443734955,0.15959205214285294
2022-09-04 13:29:36+00:00,5.080405919,,,,,269.82576727844014,0.0,0.3993357480292624,0.38358308318513934
2022-09-04 13:29:38+00:00,9.940560746,,,,,382.291075235071,0.0,0.3989109801678901,0.5864621303562233
2022-09-04 13:29:40+00:00,12.99494667,,,,,378.0474518972856,0.0,0.3984909274435598,0.7042023856652989
2022-09-04 13:29:42+00:00,15.83127764,,,,,339.40006173628876,0.0,0.3981138162638528,0.7678036130641575
2022-09-04 13:29:44+00:00,18.5331371,,,,,258.2463136878036,0.0,0.3978268759153108,0.8228531246046937
2022-09-04 13:29:46+00:00,18.87361135,,,,,167.1792824735567,0.0,0.39764112115700684,0.8199762785812879
2022-09-04 13:29:48+00:00,18.43661153,,,,,112.67092088723167,0.0,0.3975159312449099,0.800224277382959
2022-09-04 13:29:50+00:00,19.81092433,,,,,52.20511936155097,0.0,0.39745792555673043,0.7598406891506924
2022-09-04 13:29:52+00:00,19.03827499,,,,,-29.945799831765,0.0,0.39748945831595955,0.7615067026338871
2022-09-04 13:29:54+00:00,16.25993837,,,,,0.0,22.872153641715304,0.39748945831595955,0.5946402323153887
2022-09-04 13:29:56+00:00,15.56546727,,,,,152.50793549184323,0.0,0.39732000505430193,0.7941273806425411
2022-09-04 13:29:58+00:00,18.38508813,,,,,398.97594637880144,0.0,0.39687669844721435,0.790579951642447
2022-09-04 13:30:00+00:00,22.11357785,,,,,517.0792913954899,0.0,0.39630216590121936,0.7884344682051572
2022-09-04 13:30:02+00:00,24.3468446,,,,,347.63701929315675,0.0,0.3959159025464492,0.8349903467057942
2022-09-04 13:30:04+00:00,24.60455109,,,,,97.95066912216353,0.0,0.3958070684696468,0.8056232184608993
2022-09-04 13:30:06+00:00,23.20295237,,,,,-53.444163550278375,0.0,0.395863333110224,0.7986496895155613
2022-09-04 13:30:08+00:00,21.11746839,,,,,-94.57292575613648,0.0,0.3959628977631284,0.8212916322988247
2022-09-04 13:30:10+00:00,19.26184167,,,,,-86.06044039097894,1.4210854715202004e-14,0.39605350176903403,0.813710255631748
